stop_id,route_id
1,120
2,160
2,130
2,110
2,240
4,210
5,210
6,210
7,210
8,210
11,220
14,110
14,100
15,120
16,120
17,120
19,120
21,160
21,110
23,160
23,110
25,160
25,130
25,110
27,160
27,110
27,240
33,110
33,100
41,120
44,160
44,110
47,130
47,110
47,100
48,110
48,100
49,130
49,110
49,100
50,110
50,100
51,110
51,100
52,110
52,100
53,110
53,100
54,110
54,100
55,110
55,100
57,110
57,100
58,110
58,100
59,110
59,100
60,110
60,100
67,140
71,160
71,110
72,160
72,130
72,110
72,240
73,160
73,110
73,240
74,110
74,100
75,120
75,100
79,110
82,160
82,170
82,150
82,110
83,160
83,140
83,110
86,120
87,140
87,150
