trip_id,arrival_time,departure_time,stop_id,stop_sequence
160,08:00:00,08:00:30,2,0
160,08:00:30,08:01:00,21,1
160,08:01:00,08:01:30,23,2
160,08:01:30,08:02:00,25,3
160,08:02:00,08:02:30,27,4
160,08:02:30,08:03:00,44,5
160,08:03:00,08:03:30,71,6
160,08:03:30,08:04:00,72,7
160,08:04:00,08:04:30,73,8
160,08:04:30,08:05:00,82,9
160,08:05:00,08:05:30,83,10
170,08:00:00,08:00:30,82,0
220,08:00:00,08:00:30,11,0
140,08:00:00,08:00:30,67,0
140,08:00:30,08:01:00,83,1
140,08:01:00,08:01:30,87,2
150,08:00:00,08:00:30,82,0
150,08:00:30,08:01:00,87,1
210,08:00:00,08:00:30,4,0
210,08:00:30,08:01:00,5,1
210,08:01:00,08:01:30,6,2
210,08:01:30,08:02:00,7,3
210,08:02:00,08:02:30,8,4
120,08:00:00,08:00:30,1,0
120,08:00:30,08:01:00,15,1
120,08:01:00,08:01:30,16,2
120,08:01:30,08:02:00,17,3
120,08:02:00,08:02:30,19,4
120,08:02:30,08:03:00,41,5
120,08:03:00,08:03:30,75,6
120,08:03:30,08:04:00,86,7
130,08:00:00,08:00:30,2,0
130,08:00:30,08:01:00,25,1
130,08:01:00,08:01:30,47,2
130,08:01:30,08:02:00,49,3
130,08:02:00,08:02:30,72,4
110,08:00:00,08:00:30,2,0
110,08:00:30,08:01:00,14,1
110,08:01:00,08:01:30,21,2
110,08:01:30,08:02:00,23,3
110,08:02:00,08:02:30,25,4
110,08:02:30,08:03:00,27,5
110,08:03:00,08:03:30,33,6
110,08:03:30,08:04:00,44,7
110,08:04:00,08:04:30,47,8
110,08:04:30,08:05:00,48,9
110,08:05:00,08:05:30,49,10
110,08:05:30,08:06:00,50,11
110,08:06:00,08:06:30,51,12
110,08:06:30,08:07:00,52,13
110,08:07:00,08:07:30,53,14
110,08:07:30,08:08:00,54,15
110,08:08:00,08:08:30,55,16
110,08:08:30,08:09:00,57,17
110,08:09:00,08:09:30,58,18
110,08:09:30,08:10:00,59,19
110,08:10:00,08:10:30,60,20
110,08:10:30,08:11:00,71,21
110,08:11:00,08:11:30,72,22
110,08:11:30,08:12:00,73,23
110,08:12:00,08:12:30,74,24
110,08:12:30,08:13:00,79,25
110,08:13:00,08:13:30,82,26
110,08:13:30,08:14:00,83,27
100,08:00:00,08:00:30,14,0
100,08:00:30,08:01:00,33,1
100,08:01:00,08:01:30,47,2
100,08:01:30,08:02:00,48,3
100,08:02:00,08:02:30,49,4
100,08:02:30,08:03:00,50,5
100,08:03:00,08:03:30,51,6
100,08:03:30,08:04:00,52,7
100,08:04:00,08:04:30,53,8
100,08:04:30,08:05:00,54,9
100,08:05:00,08:05:30,55,10
100,08:05:30,08:06:00,57,11
100,08:06:00,08:06:30,58,12
100,08:06:30,08:07:00,59,13
100,08:07:00,08:07:30,60,14
100,08:07:30,08:08:00,74,15
100,08:08:00,08:08:30,75,16
240,08:00:00,08:00:30,2,0
240,08:00:30,08:01:00,27,1
240,08:01:00,08:01:30,72,2
240,08:01:30,08:02:00,73,3
